ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.133,192.168.4.78,51063,7025,0,0x0014
192.168.4.133,192.168.4.78,51063,6510,0,0x0014
192.168.4.133,192.168.4.78,51063,52822,0,0x0014
192.168.4.133,192.168.4.78,51063,6779,0,0x0014
192.168.4.133,192.168.4.78,51063,79,0,0x0014
192.168.4.133,192.168.4.78,51063,14238,0,0x0014
192.168.4.133,192.168.4.78,51063,49165,0,0x0014
192.168.4.133,192.168.4.78,51063,32778,0,0x0014
192.168.4.133,192.168.4.78,51063,1090,0,0x0014
192.168.4.133,192.168.4.78,51063,687,0,0x0014
192.168.4.133,192.168.4.78,51063,1461,0,0x0014
192.168.4.133,192.168.4.78,51063,8290,0,0x0014
192.168.4.133,192.168.4.78,51063,52673,0,0x0014
192.168.4.133,192.168.4.78,51063,6969,0,0x0014
192.168.4.133,192.168.4.78,51063,1046,0,0x0014
192.168.4.133,192.168.4.20,51063,55055,0,0x0014
192.168.4.133,192.168.4.20,51063,1199,0,0x0014
192.168.4.133,192.168.4.20,51063,6839,0,0x0014
192.168.4.133,192.168.4.20,51063,987,0,0x0014
192.168.4.133,192.168.4.20,51063,10626,0,0x0014
192.168.4.133,192.168.4.20,51063,9011,0,0x0014
192.168.4.133,192.168.4.113,51063,427,0,0x0014
192.168.4.133,192.168.4.77,51063,7025,0,0x0014
192.168.4.133,192.168.4.76,51063,9102,0,0x0014
192.168.4.133,192.168.4.76,51063,8022,0,0x0014
192.168.4.133,192.168.4.77,51063,8290,0,0x0014
192.168.4.133,192.168.4.77,51063,1090,0,0x0014
192.168.4.133,192.168.4.77,51063,79,0,0x0014
192.168.4.133,192.168.4.76,51063,1301,0,0x0014
192.168.4.133,192.168.4.76,51063,5903,0,0x0014
192.168.4.133,192.168.4.77,51063,4003,0,0x0014
192.168.4.133,192.168.4.113,51063,3659,0,0x0014
192.168.4.133,192.168.4.76,51063,7002,0,0x0014
192.168.4.133,192.168.4.76,51063,1010,0,0x0014
192.168.4.133,192.168.4.76,51063,1328,0,0x0014
192.168.4.133,192.168.4.113,51063,6839,0,0x0014
192.168.4.133,192.168.4.113,51063,55055,0,0x0014
192.168.4.133,192.168.4.113,51063,2522,0,0x0014
192.168.4.133,192.168.4.78,51063,1600,0,0x0014
192.168.4.133,192.168.4.78,51063,9102,0,0x0014
192.168.4.133,192.168.4.78,51063,1328,0,0x0014
